SNO,dimension,bandgap1 ,bandgap2 ,dielectric_constant_1,dielectric_constant_2,mol_wt_1,mol_wt_2,size,temperature,work_function_1,work_function_2,volt,wavelength,responsivity
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,736,0.005119979
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,742,0.0042768
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,748,0.003193998
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,754,0.00222755
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,760,0.002290136
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,766,0.002772278
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,772,0.003246408
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,778,0.002763685
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,784,0.002051071
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,790,0.001377068
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,796,0.000863905
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,802,0.000510589
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,808,0.000559426
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,814,0.000625687
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,820,0.000729621
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,826,0.000695403
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,832,0.000582341
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,838,0.000452242
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,844,0.000308161
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,850,6.67E-05
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,856,6.56E-05
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,862,-1.19E-05
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,868,-1.82E-05
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,874,0.000157692
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,880,0.000257416
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,886,0.000296163
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,892,0.000338104
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,898,0.000323053
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,904,0.000363413
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,910,0.000372338
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,916,0.000256841
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,922,0.000233929
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,928,0.000296747
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,934,0.000172553
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,940,0.000118907
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,946,0.000151879
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,952,0.000200047
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,958,0.000172675
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,964,0.000235025
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,970,0.000231759
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,976,0.000225652
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,982,0.000202625
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,988,0.000215231
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,994,0.000164816
3,2,2.35,0,6.5,0,143.1,0,12.98,30,4.85,4.7,0,1000,0.000109942
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,250,1.272770075
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,254,1.26885405
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,258,1.330620846
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,262,1.336786744
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,266,1.378234019
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,270,1.414327208
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,274,1.399564196
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,278,1.35840736
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,282,1.361104886
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,286,1.376377833
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,290,1.401306218
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,294,1.486846517
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,298,1.625197591
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,302,1.677787111
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,306,1.755070338
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,310,1.809512136
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,314,1.539624282
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,318,1.178877096
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,322,0.9389938
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,326,0.780032884
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,330,0.631547193
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,334,0.505957337
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,338,0.360115376
4,1.5,3.58,3.4,9,9,74.69,74.69,13.83,30,4.85,4.7,-2,342,0.290157446
